PM_fall_La,xcoordinat,ycoordinat,pmF7,pmF8,pmF9,pmF10,pmF11,no2F7,no2F8,no2F9,no2F10,no2F11
"33707",1002546.150999999954365,241661.141700000036508,8.263224643999999,7.069961379000000,7.569700475000000,5.858805054000000,6.863168609000000,14.547701310000001,14.436854930000001,14.820678600000001,14.244781700000001,13.507451900000000
"33708",1002546.150999999954365,241989.225700000009965,7.837330893000000,6.627471326000000,7.183518382000000,5.739170733000000,6.736127822000000,14.405928110000000,14.265665540000001,14.679635690000000,14.066706699999999,13.340138260000000
"33709",1002546.150999999954365,242317.309700000012526,7.812654253000000,6.592550113000000,7.157821812000000,5.705812103000000,6.754771046000000,14.755412870000001,14.595218559999999,15.030881559999999,14.273611969999999,13.447855360000000
"33710",1002546.150999999954365,242645.393699999985984,7.757974981000000,6.527214430000000,7.105906452000000,5.665426781000000,6.733921999000000,14.931097189999999,14.753601130000000,15.199526929999999,14.365648550000000,13.598860050000001
"33711",1002546.150999999954365,242973.477600000012899,7.675417184000000,6.433885266000000,7.044572138000000,5.646448447000000,6.683702178000000,14.215233840000000,14.024793700000000,14.491453340000000,13.714445670000000,12.993323470000000
"33712",1002546.150999999954365,243301.561599999986356,7.547506625000000,6.294774386000000,6.952775315000000,5.624850739000000,6.559434266000000,14.080951040000000,13.859116759999999,14.335691810000000,13.537366380000000,13.129064300000000
"34012",1002874.234999999986030,233787.125900000013644,7.920508798000000,6.976582160000000,7.298109817000000,5.975327685000000,6.796115522000000,15.474626199999999,16.008303940000001,15.942373379999999,14.922989100000001,14.827294400000000
"34013",1002874.234999999986030,234115.209899999987101,8.343395575000002,7.394516655000000,7.665219724000000,6.093909116000000,7.037656709000000,14.730322040000001,15.249681490000000,15.480003130000000,14.853880830000000,14.721292110000000
"34014",1002874.234999999986030,234443.293899999989662,8.114524447000004,7.151353472000000,7.487874339000000,6.114808562000000,6.995825089000000,15.819300150000000,16.298211770000002,16.520211220000000,15.788203879999999,15.566444580000001
"34015",1002874.234999999986030,234771.377899999992223,8.198114670000002,7.224991416000000,7.558481554000000,6.149709783000000,7.092734802000000,16.994561839999999,17.420520660000001,17.487051019999999,16.513356940000001,16.223161019999999
"34016",1002874.234999999986030,235099.461899999994785,8.583437557000000,7.605047618000000,7.914088191000000,6.288776012000000,7.247965847000000,17.400256039999999,17.792826970000000,17.738595260000000,16.754808460000000,16.366237049999999
"34017",1002874.234999999986030,235427.545899999997346,8.812783165000004,7.826393562000000,8.108420591000000,6.353428413000000,7.323321405000000,16.437014909999998,16.799255010000000,16.835265270000001,16.151946370000001,15.821238530000000
"34018",1002874.234999999986030,235755.629899999999907,8.844126969000000,7.847430380000000,8.154484790000000,6.406455161000000,7.356605123000000,17.726934150000002,18.034409560000000,17.673040530000002,16.102466650000000,15.722470420000001
"34019",1002874.234999999986030,236083.713900000031572,8.769927964000004,7.761102081000000,8.101270376000000,6.443592744000000,7.380289398000000,16.403858010000000,16.696923689999998,16.579440710000000,15.667717300000000,15.412904370000000
"34020",1002874.234999999986030,236411.797800000000279,8.668056660000000,7.646685299000000,8.014614130000000,6.441123691000000,7.334401372000000,15.232301290000001,15.524536550000001,15.787780910000000,15.528172610000000,15.224382300000000
"34021",1002874.234999999986030,236739.881800000002841,8.298054213000000,7.260532503000000,7.717043559000000,6.423334337000000,7.167590787000000,15.141793090000000,15.416053610000001,15.690045019999999,15.457905970000001,15.207225610000000
"34022",1002874.234999999986030,237067.965800000005402,8.473448031000000,7.427117401000000,7.858902291000000,6.458863052000000,7.155308033000000,14.991211860000000,15.247081390000000,15.532457380000000,15.394227960000000,15.177400750000000
"34023",1002874.234999999986030,237396.049800000007963,8.706263593999999,7.652453078000000,8.050099035000002,6.465697331000000,7.141155041000000,14.946111610000001,15.178361969999999,15.472768700000000,15.350935359999999,15.007242000000000
"34024",1002874.234999999986030,237724.133799999981420,8.702236654000000,7.637848590000000,8.039401400999999,6.412279017000000,7.164096275000000,16.883126109999999,17.058432620000001,16.971943249999999,15.842166600000001,15.596477130000000
"34025",1002874.234999999986030,238052.217800000013085,8.646968179000000,7.570673519000000,7.971005615000000,6.360726966000000,7.042908303000000,16.818642109999999,16.990253979999999,16.995523360000000,16.009777710000002,15.546494900000001
"34026",1002874.234999999986030,238380.301799999986542,8.573574778999999,7.485729180000000,7.917546480000000,6.359004458000000,7.115795009000000,15.376012019999999,15.531087290000000,15.845831049999999,15.609851750000001,15.143840890000000
"34027",1002874.234999999986030,238708.385799999989104,8.212841667999999,7.109142562000000,7.600973130000000,6.281540109000000,7.069102080000000,15.082769450000001,15.200469289999999,15.523652110000000,15.305635660000000,14.738871150000000
"34028",1002874.234999999986030,239036.469799999991665,8.199982770000000,7.086234799000000,7.611348889000000,6.286670235000000,6.999792057000000,15.546928970000000,15.629633990000000,15.954193580000000,15.617491500000000,14.942169590000001
"34029",1002874.234999999986030,239364.553799999965122,8.151577909000000,7.026987153000000,7.562440675000000,6.219016261000000,6.990896535000000,15.959175380000000,16.021814400000000,16.352387480000001,15.864276759999999,15.280532060000001
"34030",1002874.234999999986030,239692.637699999992037,8.101951994000000,6.965769174000000,7.494116305000000,6.158010611000000,6.902324631000000,16.097503979999999,16.134023469999999,16.471951030000000,15.966795440000000,15.212102099999999
"34031",1002874.234999999986030,240020.721699999994598,8.052865064000002,6.905620667000000,7.440467588000000,6.102650927000000,6.889712450000000,16.513880919999998,16.520553090000000,16.862093130000002,16.257831719999999,15.471610280000000
"34032",1002874.234999999986030,240348.805699999997159,8.294479929000000,7.140569539000000,7.633928825000000,6.096498544000000,7.012114919000000,17.503561470000001,17.477350000000001,17.815893290000002,17.013529500000001,16.126888770000001
"34033",1002874.234999999986030,240676.889699999999721,8.497146166000000,7.336173680000000,7.794037803000000,6.079496284000000,7.194871006000000,18.244750360000001,18.186755880000000,18.525279970000000,17.542053469999999,16.615736299999998
"34034",1002874.234999999986030,241004.973700000002282,8.600853861999999,7.431212050000000,7.869849404000000,6.051104324000000,7.254467902000000,23.279217339999999,23.099493259999999,23.042158770000000,20.898434129999998,19.900661570000000
"34035",1002874.234999999986030,241333.057700000004843,8.569074973999999,7.389282978000000,7.841564303000000,5.996143709000000,7.232480914000000,19.813378830000001,19.666003539999998,19.503052120000000,18.044350779999998,17.037479770000001
"34036",1002874.234999999986030,241661.141700000036508,8.372111909999999,7.179581520000000,7.667344154000000,5.915102568000000,7.065520927000000,20.448777270000001,20.256700909999999,19.781091510000000,17.981633429999999,16.788756469999999
"34037",1002874.234999999986030,241989.225700000009965,8.111522152999999,6.904827526000000,7.419334196000000,5.799914670000000,6.867833688000000,20.954659249999999,20.729668820000001,20.121980080000000,18.051297229999999,16.793690779999999
"34038",1002874.234999999986030,242317.309700000012526,8.048630634000000,6.831073003000000,7.358342523000000,5.755423949000000,6.850784568000000,21.353384819999999,21.104581100000001,20.529814810000001,18.339874139999999,17.036137600000000
"34039",1002874.234999999986030,242645.393699999985984,7.982821381000000,6.754327981000000,7.287846152000000,5.693891640000000,6.869904637000000,21.029903829999999,20.778132500000002,20.414169030000000,18.328472219999998,17.148696609999998
"34040",1002874.234999999986030,242973.477600000012899,7.928823800000000,6.689728797000000,7.239098758000000,5.663889814000000,6.876907919000000,18.803827089999999,18.554402629999998,18.700624340000001,17.118779719999999,16.127095669999999
"34041",1002874.234999999986030,243301.561599999986356,7.869998832000000,6.620283974000000,7.177985072000000,5.609187503000000,6.857450753000000,18.398753240000001,18.147821720000000,18.566159150000001,17.110448229999999,16.244255070000001
"34042",1002874.234999999986030,243629.645599999988917,7.850636610000000,6.591574712000000,7.188489957000000,5.628908641000000,6.865588362000000,18.026747589999999,17.764979550000000,18.201338990000000,16.735259570000000,16.245495770000002
"34043",1002874.234999999986030,243957.729599999991478,7.791810508000000,6.522237843000000,7.142449020000000,5.623732909000000,6.809349474000000,16.470600090000001,16.177929310000000,16.639294910000000,15.411757489999999,14.946818830000000
